;words;doc_occurance
241;continental;3
243;continents;3
249;continue;3
251;continued;3
252;continuing;3
253;cooled;2
254;cooling;3
259;cope;1
260;corals;2
261;correlate;1
262;covers;2
263;cramped;1
264;crater;2
266;creating;4
268;creation;5
270;creatures;3
274;creodonts;1
275;cretaceous;2
280;crocodiles;1
281;crocodilians;1
282;crustaceans;1
286;currents;1
287;curves;1
288;cyclical;1
289;d;10
290;david;10
291;dawn;3
292;deadliest;1
293;deccan;1
294;decline;2
296;degrees;5
299;demography;1
300;demonstrated;2
303;deserts;1
305;desolate;1
307;destroying;1
308;devastation;1
310;development;12
313;developmental;2
314;devonian;2
318;did;6
320;die;3
326;dilophosaurus;1
327;dimetrodon;1
329;dinosaurs;2
337;dire;1
338;disrupted;1
339;disuse;2
340;diverse;8
342;diversification;2
344;diversified;3
346;diversity;5
351;dividing;2
352;division;7
353;divisions;2
354;dominant;3
359;dominated;3
366;dominating;2
367;dominion;1
371;drew;1
372;dried;3
373;drop;5
374;droughts;1
378;dunkleosteus;1
379;earlier;7
380;early;11
408;earthhidden;1
409;east;3
410;ecosystem;3
411;edaphosaurus;1
412;effect;5
416;elizabeth;3
417;emergence;3
420;enchanted;1
424;encyclopedia;10
433;english;4
435;eocene;1
438;eon;2
439;eons;2
440;eonsgeological;1
441;episodes;1
442;epoch;1
450;era;1
451;eras;2
452;eruptions;2
453;estimated;7
454;et;12
455;euparkeria;1
456;event;5
465;eventually;7
469;evergreen;1
470;evolution;8
485;evolve;3
486;evolved;5
502;evolves;2
504;exceedingly;4
505;expansion;2
509;experienced;1
510;explosion;3
512;exponential;1
513;extensively;1
514;extinct;4
516;extinction;3
531;extreme;3
532;fact;9
533;falling;2
535;families;1
536;famously;1
538;fastovsky;1
539;fauna;1
540;feature;4
541;featured;1
549;features;6
559;feedback;2
563;feeding;5
564;fern;1
566;fifth;2
567;filled;1
571;finally;4
572;fish;4
578;flourished;1
580;flowering;3
581;following;10
582;follows;3
586;foothold;1
588;forerunners;1
590;forests;3
599;forming;7
605;fossil;5
606;fossils;5
607;fourth;3
608;fred;4
609;frequent;1
610;freshwater;2
612;fruit;5
615;gain;5
620;geochronologic;1
621;geographic;2
622;geologic;1
629;geologists;1
631;glaciation;1
635;global;5
638;gnd;10
640;goes;5
641;going;3
643;gondwana;1
647;gorgonopsids;1
648;got;1
650;gradient;3
651;graham;1
652;grand;2
653;grass;1
655;great;11
660;ground;5
661;group;11
664;grow;5
666;growth;8
669;guided;1
670;gya;1
671;hadrosaurs;1
672;harsh;1
673;havoc;1
674;head;3
676;healing;2
679;herds;1
680;history;10
694;holocene;1
696;hominid;1
697;homo;4
699;horses;1
700;huge;2
707;humid;2
708;hunting;2
709;hyperbolic;1
714;ice;5
717;ichthyosaurs;1
723;identified;10
724;identifiers;10
725;iguanodon;1
726;implies;2
727;imply;2
729;inches;1
730;included;7
740;increased;5
741;incredibly;1
742;india;2
743;indian;3
744;inhabited;3
746;inland;1
747;insects;2
748;intense;3
749;interference;1
752;international;9
756;invertebrates;2
757;islands;1
758;isthmus;1
760;jawed;1
761;jawless;1
762;jonathan;3
763;july;13
764;jungles;1
766;jurassic;1
772;just;6
773;kalahari;1
774;kelp;1
775;killing;3
776;kilograms;1
790;label;1
791;land;4
794;landmass;1
807;larger;9
810;largest;7
814;lasted;1
816;late;9
827;laurasia;1
828;laurentia;1
829;leading;9
833;leaellynasaura;1
834;led;9
842;lie;3
868;lines;2
870;little;6
871;live;4
872;lived;3
876;logistic;1
877;longest;3
878;lush;1
879;major;12
883;mammal;2
884;mammals;5
891;mammoth;1
892;managed;3
893;map;2
895;marie;1
896;marine;3
901;marked;2
902;marsupials;1
910;massive;2
914;media;7
915;mediterranean;2
917;mesozoic;2
920;metazoa;2
922;mid;2
923;middle;7
931;migrate;2
932;migrated;1
934;mild;3
935;million;8
984;millions;3
986;miocene;1
991;models;4
993;moderate;2
994;modern;11
1001;monotonic;2
1002;monte;1
1003;mosasaurs;1
1005;mosquitoes;1
1006;mountain;1
1007;mountainous;2
1008;mya;1
1009;national;12
1014;near;5
1017;nearing;1
1018;negative;5
1019;neogene;1
1022;north;5
1027;oak;1
1028;obshchei;1
1029;ocean;7
1031;oceans;2
1032;officially;4
1033;old;5
1034;older;4
1035;oligocene;1
1037;opened;1
1038;opportunity;1
1039;ordovician;3
1041;origin;9
1042;ornithocheirus;1
1043;otters;1
1044;oxford;9
1046;paleocene;1
1049;paleogene;1
1050;paleontologists;2
1051;paleozoic;2
1056;pangaea;1
1059;pannotia;1
1060;parts;7
1061;pattern;4
1062;peak;2
1063;peninsula;2
1064;period;8
1077;perissodactyls;1
1079;permian;2
1081;phanerozoic;2
1091;phyla;2
1093;pine;2
1094;plant;9
1098;plants;11
1106;pleistocene;1
1110;plesiosaurs;1
1111;pliocene;1
1116;poisoning;2
1118;pole;1
1119;poles;3
1120;population;6
1124;"portal
";3
1127;positive;3
1130;prairies;1
1132;precambrian;2
1133;precipitation;1
1134;predator;2
1135;predators;2
1139;prevalent;3
1141;primates;1
1142;primitive;4
1144;probably;7
1146;progressively;2
1147;pronouncing;1
1148;proterozoic;1
1151;provided;4
1152;pterosaur;1
1153;pterosaurs;1
1154;pushing;2
1155;quaternary;1
1158;race;3
1159;rainforest;1
1160;rains;1
1161;ranged;2
1169;rapid;7
1172;reaching;2
1173;rebirth;1
1174;recent;8
1177;record;5
1178;recorded;3
1180;recovered;1
1182;recovery;3
1186;remain;6
1187;replace;4
1188;replaced;7
1189;reptiles;2
1198;reptilian;1
1199;resource;2
1200;rest;5
1201;restricted;4
1203;resulted;4
1211;rich;6
1212;ridge;1
1213;rise;7
1218;rockies;1
1220;rose;4
1222;rule;4
1225;ruled;2
1230;rulers;1
1231;sahara;1
1232;sauropods;1
1234;savannas;1
1235;saw;5
1240;scutosaurus;1
1249;seas;1
1251;seasonal;4
1253;seasonally;2
1254;seasons;2
1255;second;10
1258;separated;3
1262;separation;2
1265;sexual;4
1266;shallows;1
1269;sharks;1
1271;shelly;1
1272;shortest;3
1273;shows;6
1274;shrinking;2
1275;siberia;1
1277;silurian;2
1279;similarity;1
1280;similarly;2
1281;simply;3
1282;single;12
1283;situated;1
1284;sixth;1
1285;size;8
1289;smashed;1
1290;snails;2
1291;snowball;1
1293;society;9
1294;south;5
1300;space;5
1301;span;2
1302;spans;2
1319;sparked;1
1321;sparks;1
1322;species;8
1335;spread;4
1337;spreads;1
1338;staggering;1
1339;staked;1
1344;steady;2
1345;stefan;1
1346;stochastic;2
1347;strait;1
1348;stronghold;1
1350;study;12
1351;successful;4
1352;suggested;5
1353;summer;3
1354;surrounded;4
1355;survive;3
1356;swamps;1
1357;synapsids;1
1359;systematic;8
1360;tapejara;1
1361;technological;1
1362;tectonic;1
1363;temnospondyli;1
1369;termed;3
1370;terrestrial;5
1373;terrible;1
1374;tethys;1
1377;textcommons;2
1379;thousands;3
1381;thrive;1
1382;thrived;1
1395;title;3
1397;today;6
1399;took;5
1400;transitional;1
1402;traps;1
1403;trees;4
1405;trend;3
1407;treptichnus;1
1408;triassic;2
1418;triceratops;1
1419;trilobites;1
1420;tropic;1
1422;tropical;2
1424;true;6
1428;ultimately;3
1429;union;6
1432;universal;5
1433;universe;3
1470;usgs;1
1471;v;2
1472;vacuums;1
1473;vascular;2
1474;vertebrae;1
1475;visible;6
1476;volcanic;5
1477;wake;1
1478;warming;3
1480;waters;1
1481;way;9
1482;ways;3
1484;went;3
1485;whales;1
1488;wikidatawikipedia;1
1489;winters;1
1490;witnessed;1
1491;wolves;1
1492;woolly;1
1493;words;2
1494;world;11
1500;worldwide;5
1501;worst;1
1502;wreaking;1
1503;year;6
1545;zero;1
1546;zhurnal;1
0;ability;5
2;accessed;3
3;acetal;1
4;acetobacter;1
5;acetone;1
68;acidic;3
72;activity;6
74;additive;1
79;additives;4
82;adjunctive;1
83;adrenal;1
85;affects;4
88;albert;2
92;aldehyde;1
96;amino;6
97;analyze;1
108;anion;2
109;antioxidant;2
116;antioxidants;3
117;antiscorbutic;1
120;antiseptics;1
121;antitumor;1
122;appear;8
123;approach;4
124;approved;1
125;arabidopsis;2
126;archived;9
134;ascorbate;1
147;ascorbic;2
197;ascorbyl;1
200;aspects;7
201;assay;1
202;assemble;1
203;assessment;4
204;attack;2
210;award;1
211;awarded;2
220;bats;1
221;benefit;4
222;benefits;3
223;biological;10
230;biosynthesis;2
238;biosynthetic;2
239;biotechnological;1
242;bleaching;1
244;bp;1
245;british;2
247;bypasses;1
248;bypassing;1
268;calcium;3
270;calculated;4
274;cambridge;7
275;cancer;3
280;canonical;1
281;carbonyl;2
283;carboxylic;2
284;card;2
285;carry;5
286;casno;1
288;caspi;1
